idx,original,paraphrased
64,อนาคตใหม่ จัดเสวนาถอดบทเรียนงบฯปี 63 ธนาธร ชี้ 5 ปัญหาหลักประเทศ-ปรับ 4 ฐานคิดใหม่ใช้เงิน เล็งตั้งทีมตรวจสอบต่อ ด้าน สุรเชษฐ์ อัดงบลงทุนน้อย-ใช้อย่างไม่ฉลาด,ในอนาคตที่กำลังจะมาถึง เราจะจัดเสวนาเพื่อตีพิมพ์บทเรียนของงบประเทศ ปี 63 ธนาธรได้ชี้แจงถึง 5 ปัญหาหลักของประเทศและปรับปรุง 4 ฐานคิดใหม่ในการใช้เงิน โดยวางแผนให้มีทีมตรวจสอบในด้านการใช้งบประมาณของสุรเชษฐ์ให้มีการลงทุนที่น้อยลงและใช้ในทางที่ไม่ฉลาด
65,ณัฐวุฒิ แนะจับตา เชน-ธานี-เอกนัฏ ซบพรรค วิทยา ชี้ สุเทพ อาจหนุนพรรคใหม่ในฐานะสมาชิกทั่วไป พร้อมย้อนอดีต สุเทพเคยประกาศกลางเวที กปปส.,ณัฐวุฒิแนะว่าเชน-ธานี-เอกนัฏ ซบพรรควิทยา ชี้ว่าสุเทพอาจเป็นผู้สนับสนุนพรรคใหม่ในฐานะสมาชิกทั่วไป และย้อนกลับไปดูในอดีต สุเทพเคยประกาศในกลางเวที ของกปปส.
66,คนกรุงช็อก หลังผู้ว่าฯ กทม.ประกาศปิดเพิ่มเติมสถานที่ 26 ประเภท รวมทั้งห้างสรรพสินค้า ร้านเสริมสวย ฯลฯ ส่งผลคนแห่เข้าห้างซื้อข้าวของตุนแหลก,หลังจากประชาชื่นของผู้ว่าฯ ที่เมืองกรุงเทพฯประกาศปิดสถานที่เพิ่มเติมทั้งหมด 26 ประเภทรวมทั้งห้างสรรพสินค้าและร้านเสริมสวย เป็นที่สังเกตได้ว่ามีผลกระทบต่อคนที่เข้าไปในห้างเพื่อซื้อข้าวของตนเองตลอดเวลา
67,แม่ค้าตลาดกิมหยง จ.สงขลา เผยราคาผักปรับสูงขึ้นช่วงเทศกาลกินเจ โดยผู้ค้าส่งอ้างว่าเกิดจากปัญหาค่าขนส่งและน้ำท่วม ส่วนการจับจ่ายยังไม่คึกคักมากนัก,แม่ค้าในตลาดกิมหยง จังหวัดสงขลา ได้เปิดเผยว่าราคาผักได้เพิ่มขึ้นในช่วงเทศกาลกินเจ โดยให้ผู้ค้าส่งยืนยันว่าเป็นเพราะปัญหาค่าขนส่งและน้ำท่วม ในขณะเดียวกัน การจ่ายเงินยังไม่ถูกปรับปรุงอย่างเต็มที่
68,แก๊งวัยรุ่นที่สมุทรสาคร ก่อเหตุฆ่าโหดรัวกระสุน 9 มม. 12 นัดใส่ 2 น้าหลานคู่กรณีวิวาทในสนามเปตองดับคาที่ 2 ศพ ตร.ดูวงจรปิด รู้ตัวผู้ก่อเหตุแล้ว เร่งติดตามตัวมาดำเนินคดี,แก๊งวัยรุ่นที่ฆ่าโหดรัวแบบยิงกระสุนที่สมุทรสาครถูกติดตามเร่งดำเนินคดีหลังจากตำรวจทราบตัวผู้ก่อเหตุในตอนที่วงจรปิดสนามเปตองทำการใส่ทำร้าย 2 น้องหลานในเรื่องวิวาท์ ศพคู่กรณีต้องเสียชีวิต ณ ที่เกิดเหตุ
69,เสธ.อู้ แจง กมธ.ฟังความเห็นทุกฝ่าย และยังมีเวลาทบทวนร่างรัฐธรรมนูญ หลัง 25 พ.ค. ร่วม 2 เดือน ไม่รับปากแก้ระบบโอเพ่น ลิสต์ใน ส.ส.ปาร์ตี้ลิสต์ ,เสธ.อู้ แจง กมธ.ให้ฟังความเห็นจากทุกฝ่าย และยังมีเวลาทบทวนร่างรัฐธรรมนูญหลังจาก 25 พ.ค. ร่วม 2 เดือน แล้วก็ไม่รับปากแก้ระบบโอเพ่นในสไตล์การประชุมของสมาชิกพรรคปาร์ตี้ลิสต์ในสภาผู้แทนราษฎร
70,ตำรวจกองปราบจับ ญา องค์พระ ลักลอบค้าอาวุธสงคราม ยึดปืนคาร์บินแบบ M 2 และลูกซองแฝด พร้อมกระสุนจำนวนมาก รับสารภาพซื้อมาจากชาวพม่า ก่อนนำมาปล่อยต่อขายให้กับคนที่อยากได้,"ตำรวจกลุ่มการปราบบาปได้จับ ""ญา องค์พระ"" ที่ซ่อนตัวจำหน่ายอาวุธสงคราม ซึ่งถือปืนคาร์บินแบบ M2 และกระสุนลูกซองแฝดจำนวนมาก ซื้อมาจากคนพม่าเพื่อนำมาขายให้กับคนที่ต้องการอาวุธเหล่านั้น"
71,ตำรวจปทุมธานี เปิดภาพจากกล้องวงจรปิด ผู้ต้องสงสัยฆ่ามัดมือ 3 ศพคนเก็บของเก่า เป็นชายร่างเล็ก ในภาพเห็นปั่นจักรยานสองล้อมุ่งหน้าไปทางกรุงเทพฯ หลังก่อเหตุในท้องที่ สภ.ประตูน้ำจุฬาลงกรณ์ ผ่านหน้าห้างเซียร์รังสิต ก่อนหายตัวไป,ตำรวจปทุมธานีเปิดเผยภาพจากกล้องวงจรปิดที่เกี่ยวข้องกับการฆ่าผู้มีร่มเกล้าในท้องที่สำนักงานตำรวจประตูน้ำจุฬาลงกรณ์ ซึ่งวิดีโอนี้แสดงให้เห็นว่าผู้ต้องสงสัยมีฝีมือการใช้ข้องมือด้านการฆ่าให้ตายสัก 3 รายซึ่งเป็นชายข้างเล็ก เมื่อเห็นภาพแล้วเจ้าหน้าที่ตำรวจได้ติดตามเส้นทางของผู้ต้องสงสัยไปได้สองคนที่กำแพงเซียร์รังสิตแล้วก่อนหายตัวไปในทางไปยังกรุงเทพฯ
72,เกิดอะไรขึ้น เจ้าของรถยังงง? หนุ่มลพบุรี ซื้อรถตู้มือ 2 ยี่ห้อเบนซ์ ตกแต่งภายใน เปลี่ยนแปลงเครื่องยนต์ใหม่หมดราว 5 แสน ช่างนัดไปรับรถออกจากอู่ ขับมุ่งหน้ากลับบ้านได้กลิ่นไหม้ จอดรถเปิดห้องเครื่องไฟไหม้พึ่บ ตกใจรีบกระโดดหนี,"เจ้าของรถยังงงอะไรกันอยู่? พี่หนุ่มลพบุรีซื้อรถตู้มือสองของยี่ห้อเบนซ์ ตกแต่งภายในและเปลี่ยนเครื่องยนต์ใหม่ให้หมดประมาณ 500,000 บาท พอไปนัดช่างรับรถจากอู่แล้ว พี่และเพื่อนขับกลับบ้านก็มีกลิ่นไฟเผา จึงจอดรถและรีบกระโดดหนีเพื่อป้องกันการเกิดเหตุร้าย"
73,พระบาทสมเด็จพระเจ้าอยู่หัว โปรดเกล้าฯ ให้ผู้แทนพระองค์ พล.อ.สุรยุทธ์ จุลานนท์ องคมนตรี รักษาการประธานองคมนตรี ไปในงานประกาศเกียรติคุณบุคคลสำคัญของโลก นายกำพล วัชรพล และเปิดพิพิธภัณฑ์กำพล,พระบาทสมเด็จพระเจ้าอยู่หัว โปรดให้เกียรติผู้แทนพระองค์ พล.อ.สุรยุทธ์ จุลานนทฯ ให้เป็นองคมนตรีและรักษาการประธานองคมนตรี ในการประกาศเกียรติคุณบุคคลสำคัญต่างๆ ของโลก นายกำพล วัชรพล และเปิดพิพิธภัณฑ์กำพล
74, ผู้บัญชาการสำนักงานตำรวจแห่งชาติเตรียมลงพื้นที่ จ.นราธิวาส เพื่อประชุมตำรวจชุดสืบสวนในการติดตามกลุ่มผู้ก่อเหตุใช้อาวุธปืนสงครามกราดยิงตำรวจสายตรวจ อ.รือเสาะ เสียชีวิต 4 นาย เมื่อเย็นวานนี้ ขณะที่ตำรวจ อ.รือเสาะ เชื่อว่าผู้ก่อเหตุครั้งนี้น่าจะเป็นกลุ่มเดิมที่ก่อเหตุอยู่ในพื้นที่,ผู้บัญชาการสำนักงานตำรวจแห่งชาติกำลังเตรียมลงพื้นที่ในจังหวัดนราธิวาสเพื่อจัดประชุมกับทีมสืบสวนของตำรวจเพื่อติดตามกลุ่มผู้ก่อเหตุที่ใช้อาวุธปืนสงครามในการสกัดยิงตำรวจสายตรวจ ที่อำเภอรือเสาะ องค์กรในตำรวจอำเภอรือเสาะสูญเสียชีวิตแล้วจำนวน 4 นายเมื่อเย็นวานนี้ ตำรวจอำเภอรือเสาะเชื่อว่ากลุ่มผู้ก่อเหตุครั้งนี้เป็นกลุ่มเดิมที่เคยก่อเหตุในพื้นที่มาก่อนนี้
75,คน ธ.ก.ส.น้อยใจ ผู้ใหญ่ไม่พอใจผลงาน พร้อมใจแต่งชุดดำ ผอ.ยืนยัน สนองนโยบายรัฐมา 50 ปี น้อยใจไม่ใช่ประท้วง แค่อยากแสดงสัญลักษณ์,ผู้ใหญ่รู้สึกไม่พอใจกับผลงานของคนธ.ก.ส. และคนธ.ก.ส.จึงเลือกที่จะแต่งชุดสีดำเพื่อแสดงความท้อถอยใจ ผู้บริหารยืนยันว่าการกระทำเหล่านี้เป็นการสนับสนุนนโยบายรัฐธรรมนูญยาวนานถึง 50 ปีแล้วนะ นอกจากนี้ ความไม่พอใจที่แสดงออกมาไม่ใช่การประท้วง แต่เพียงแค่อยากแสดงสัญลักษณ์เท่านั้น
76, การหาแหล่งที่มาของเชื้อแบคทีเรียอีโคไลยังคงดำมืด แพทย์ในเยอรมนีได้คิดค้นวิธีการใหม่ ๆ ในการรักษาผู้ติดเชื้อ โดยทดลองใช้ยาปฏิชีวนะ ซึ่งสร้างความวิตกว่าอาจจะก่อให้เกิดผลร้ายมากกว่าผลดี ,การหาแหล่งที่มาของเชื้อแบคทีเรียอีโคไลยังคงสร้างความเข้มแข็งให้กับแพทย์ในเยอรมนีในการพิจารณาในวิธีการใหม่ ๆ ในการรักษาผู้ติดเชื้อ การทดลองใช้ยาปฏิชีวนะมีผลที่หลากหลาย ซึ่งมีโอกาสที่จะสร้างผลลัพธ์ที่ไม่ดีกว่าผลลัพธ์ที่ดี
77,ซีเรียเปิดพิพิธภัณฑ์แห่งชาติเป็นครั้งแรกในรอบกว่า 6 ปี หลังจากสถานการณ์สงครามกลางเมืองภายในประเทศเริ่มสงบลง,เมื่อสถานการณ์สงครามกลางเมืองภายในประเทศเริ่มสงบลง ซีเรียได้เปิดพิพิธภัณฑ์แห่งชาติครั้งแรกในรอบกว่า 6 ปี
78, คนร้ายก่อเหตุงัดตู้เอทีเอ็มธนาคารกรุงไทย สาขาเขาย้อย จังหวัดเพชรบุรี ขณะที่ตำรวจคาดว่า ผู้ก่อเหตุน่าจะเป็นกลุ่มวัยรุ่นในพื้นที่ซึ่งไม่มีความชำนาญ โดยตำรวจได้ประสานไปยังธนาคารเพื่อตรวจสอบกล้องวงจรปิดเพื่อหาผู้กระทำความผิดแล้ว,คนที่ก่อเหตุนี้เป็นคนที่ประทับใจในตู้เอทีเอ็มของธนาคารกรุงไทยสาขาเขาย้อยในจังหวัดเพชรบุรี ตำรวจว่าคาดเดาว่าผู้ก่อเหตุอาจเป็นกลุ่มคนวัยรุ่นที่ไม่ชำนาญในพื้นที่ ตำรวจได้ติดต่อกับธนาคารเพื่อตรวจสอบกล้องวงจรปิดเพื่อหาผู้ที่กระทำผิดกฎหมาย
79, สำรวจบรรยากาศถนนรวมมิตร ย่านธุรกิจไข่แดงเซฟตี้โซนกลางเมืองยะลา เส้นทางที่ยาวแค่ 950 เมตร ทว่าที่มีกำลังหมุนเวียนดูแลความปลอดภัยมากกว่า 200 นาย เศรษฐกิจกับชีวิตที่ฝากไว้กับ ท่อซิเมนต์ และโชคชะตา ,สำรวจบรรยากาศแห่งท้องเมืองย่านธุรกิจไข่แดงเต็มช่วงเทศกาลเซฟตี้เดิมที้นี่ กับเส้นทางยาวเพียง 950 เมตร แต่ก็เล่าประสบการณ์ที่มีการดูแลความปลอดภัยดีกว่า 200 นาย ซึ่งปรับตัวเข้ากับการดำเนินเศรษฐกิจและการดำรงชีวิตด้วยการใช้ท่อซิเมนต์และโชคชะตา
80,เบจี คาอิด เอสเซบซี เป็นผู้ชนะการเลือกตั้งประธานาธิบดีอย่างเสรีครั้งแรกหลังการปฏิวัติอาหรับสปริง ได้เป็นประธานาธิบดีคนใหม่ของประเทศตูนิเซีย,เบจี คาอิด เอสเซบซี ถูกเลือกเป็นประธานาธิบดีคนแรกของประเทศตูนิเซียอย่างเสรีหลังการปฏิวัติอาหรับสปริง
81,ผวา 27 นักโทษพม่าแหกคุกหลบหนีในเขตเมืองเมียวดี ตรงข้ามชายแดนแม่สอด หวั่นหนีข้ามเขตแดนมายังฝั่งไทย กองทัพพม่าต้องส่งทหารคุมเข้มชายแดน และร้องขอทางการช่วยจับกุม หากหลบหนีให้จับตายได้ในทันที,27 นักโทษพม่ากลับคุกหลบหนีในพื้นที่เมืองเมียวดี ที่ตั้งอยู่ตรงข้ามชายแดนแม่สอด และตื่นตระหนักว่าต้องหนีผ่านพรมแดนเข้ามาที่ประเทศไทย ทำให้กองทัพพม่าต้องส่งทหารมาเฝ้าตรวจและขอความช่วยเหลือในการจับกุม หากพบว่ากลับคุกหลบได้ให้ถือว่าต้องทำให้ตายทันที
82,ล่ามภาษาญี่ปุ่น โพสต์ 2 สาวไทยถูกเจ้าหน้าที่ ตม.ญี่ปุ่น จับคาสนามบินนาริตะ ฐานขนยาเสพติดที่คาดว่าเป็นโคเคน เข้าประเทศ เตือน อย่ารับฝากของจากคนแปลกหน้าเด็ดขาด,ลีชันเป็นล่ามภาษาญี่ปุ่นที่โพสต์ว่าสองสาวไทยถูกเจ้าหน้าที่ตำรวจญี่ปุ่นจับได้ที่สนามบินนาริตะ ด้วยสารเสพติดที่คาดว่าเป็นโคเคนโดยเข้าประเทศ และเตือนควรหลีกเลี่ยงการรับของจากคนแปลกหน้าเด็ดขาด
83,จากการสืบค้นของ ประชาไทออนไลน์ พบว่า ยังมีข้อมูลบางประการที่น่าสนใจ เกี่ยวกับเหตุการณ์ความรุนแรงที่เกิดขึ้นใน 3 จังหวัดชายแดนภาคใต้ กองบรรณาธิการ จึงตัดสินใจเกาะติดพื้นที่,พบว่า จากการสืบค้นของ ประชาไทออนไลน์ โดยข้อมูลบางอย่างนั้น น่าสนใจ มีส่วนเกี่ยวข้องกับเหตุการณ์ความรุนแรงใน 3 จังหวัดชายแดนภาคใต้ จึงทำให้กองบรรณาธิการตัดสินใจเลือกที่จะติดตามพื้นที่นี้
84,กรมอุตุนิยมวิทยา เผยประเทศไทยมีฝนตกชุกหนาแน่น กับมีฝนตกหนักบางแห่งบริเวณภาคเหนือ ภาคตะวันออกเฉียงเหนือ ภาคกลาง ภาคตะวันออก และภาคใต้ตอนบน ขณะที่กทม.-ปริมณฑล ฝนฟ้าคะนอง ร้อยละ 70,กรมอุตุนิยมวิทยาเปิดเผยว่าฝนตกในประเทศไทยในขณะนี้มีความหนาแน่นและชุก โดยเฉพาะในบริเวณภาคเหนือ ภาคตะวันออกเฉียงเหนือ ภาคกลาง ภาคตะวันออก และภาคใต้ตอนบน ในขณะเดียวกันฝนฟ้าตกในกรุงเทพและปริมณฑลเป็นร้อยละ 70
85, ชายอายุ 38 ปีคนหนึ่ง เมายาบ้า และคลุ้มคลั่งใช้ปืนจี้ชิงรถตู้ย่านเอกมัย กรุงเทพมหานคร โดยตำรวจต้องยิงยางรถยนต์เพื่อสกัดจับ และขณะตำรวจจะเข้าไปชาร์ตเพื่อแย่งปืนกลับพยายามยิงใส่ตำรวจอีก,ชายอายุ 38 ปีคนหนึ่งเคยดื่มยาทำให้เสพติดและทำให้ร่างกายไม่มีสติเต็มที่ นอกจากนี้ยังพยายามที่จะประไจปืนไอ้เอี้ยบอย่างแค้น เพื่อจะยิงยางเพื่อดับเพลิงอันตราย และในขณะที่ตำรวจพร้อมที่จะเข้าไปแก้ไขสถานการณ์ที่อันตรายนี้ ก็มีเขาสู้เพื่อหาโอกาสยิงแต่ตำรวจเข้ามาทันได้
86,ตำรวจ บก.ป.จ่อออกหมายเรียกผู้เกี่ยวข้องคดีโกงเงินสจล.เพิ่มอีก 26 ราย เป็นพนักงาน บริษัทในเครือของนายกิตติศักดิ์ มัทธุจัด รวมทั้งมารดาและน้องสาว เฉพาะนางระดม มัทธุจัด ผู้เป็นมารดาได้รับโอนเงิน 8 ล้านบาท,ตำรวจ เบอร์กองบังคับการศึกษา ตรวจสอบได้ว่ายิ่งมีการต่อสู้กับผู้ลูกของคดีฉ้อโกงเงินสจล มีเพิ่มขึ้น 26 ศูนย์ ทั้งสิ้นเป็นพนักงานในบริษัทเช่นเดียวกับปันผู้ใช้เครือข่ายเครือสิทธิ์ของผู้จัดการนายกิตติศักดิ์ มัทธุจัดรวมกับมารดาและที่แรกถือครองการเงินโอนมาเหมาะสมกับ 8 ล้านบาท
87,"ตำรวจ สภ.นาตาล จ.อุบลราชธานี คุม 4 ผู้ต้องหาชาวเวียดนามส่งฟ้องอัยการศาลแขวงจังหวัด แต่ลืมล็อกกุญแจมือ ขณะที่รถติดไฟแดง ผู้ต้องหา2ผัว-เมียโดดวิ่งหนี แต่ ตร.วิ่งตามตะครุบตัวได้ 1 เหลืออีก 1 กำลังเร่งติดตาม
",ตำรวจดับเพลิงสภานาตาลในจังหวัดอุบลราชธานีถือครองคนต้องหา 4 คนของสัญชาติเวียดนาม และถีบส่งไปยังอัยการศาลแขวง แต่ขณะที่สิ้นสุดรถยันไม่ล็อกกุญแจมือในขณะที่รถติดกับสัญญาณไฟแดงผู้ต้องหา 2 คน สามี-ภรรยาหนีหนี แต่ตำรวจวิ่งไล่ตามได้ 1 คนเหลืออีก 1 คนที่กำลังพยายามไล่ติดตามอย่างรวดเร็ว
88,อาร์แซน เวนเกอร์ กุนซือทีม ปืนใหญ่ อาร์เซนอล ยอมรับว่าลูกทีมของตนเองประมาทกันเกินไป จนทำให้พ่าย เดอะ แบ็กกีส์ เวสต์บรอมวิช อัลเบียน 1-2 …,อาร์เซนอล รับรู้ว่าทีมของเขาประมาทกันมากเกินไปจนทำให้แพ้กับเดอะแบ็กกีส์เวสต์บรอมวิชอัลเบียน 1-2
89, จีนคว้าแชมป์แบดมินตัน สุธีรมาน คัพ เป็นสมัยที่ 8 หลังจากต้อนเอาชนะเดนมาร์กขาดลอย 3-0 คู่,จีนเพิ่งได้เป็นแชมป์แบดมินตันสุธีรมานคัพอีกครั้งเป็นชุดที่ 8 หลังจากการเอาชนะเดนมาร์กที่น่าตื่นเต้นโดยประตูทีละ 3-0
90,ตำรวจ สภ.ขุขันธ์ จ.ศรีสะเกษ ตามตัวคนขับกระบะเจอแล้ว หลังขับรถทับคนเจ็บบนถนน ก่อนถอยหลัง-เดินหน้าทับซ้ำจนต่อมาเสียชีวิต เจ้าตัวอ้างลงมาดูแล้วไม่เห็น,ตำรวจที่สถานีตำรวจขุขันธ์ในจังหวัดศรีสะเกษ ได้ไปตามตัวขับรถกระบะที่เกิดเหตุที่มีการชนคนเจ็บบนถนน แต่เจ้าตัวไม่สามารถสังเกตได้ว่ามีคนเจ็บอยู่หรือเปล่า
91,โต๊ะเล็กสิงห์คลองเตย การท่าเรือ เอเอสเอ็ม เอาชนะ เซินเจิ้น หนานหลิง จาก จีน 4-1 โอกาสเข้ารอบ 2 สดใสเลยทีเดียว ในศึกฟุตซอลสโมสรชิงแชมป์เอเชีย 2019 ,โต๊ะของสิงห์คลองเตยจากการท่าเรือเอเอสเอ็มได้ชนะเซินเจิ้นหนานหลิงจากจีนอย่างล้ำลึกด้วยคะแนนสี่ต่อหนึ่งในโอกาสเข้ารอบสองในการแข่งขันฟุตซอลสโมสรชิงแชมป์เอเชีย 2019 อย่างสดใส
92,ทัพกิเลนผยองเปิดตัวศูนย์หน้าตัวใหม่ชาวสเปนอย่าง ซิสโก ฆิเมเนซ เข้าร่วมทีมอย่างเป็นทางการ เพื่อเสริมความแข็งแกร่งในการล่าตาข่าย ลุ้นแชมป์ไทยลีกในช่วงเลกที่ 2 ด้วยหัวหอกวัย 30 ปี ตั้งเป้านำต้นสังกัดใหม่คว้าแชมป์มาครองให้ได้,ซิสโก ฆิเมเนซ เผยแผนทหารเข้าร่วมทีมชาติสเปนซึ่งจะเสริมสร้างความแข็งแกร่งให้กับการล่าตาข่ายและมีเป้าหมายที่จะชิงแชมป์ในฤดูกาลที่สองของไทยลีก โดยใช้ชีวิตยืนนาน 30 ปีและเป้าหมายของเขาคือที่จะนำทีมใหม่ของเขาสำเร็จส่งต่อไปยังการครองแชมป์
93,ศาลทหารฯให้ประกันตัว หฤษฎ์-ณัฏฐิกา คดี 112 หลังทนายขอยื่นเงินประกันคนละ 5 แสน ด้านบุรินทร์ คอตกฝากขังต่อผัด 6,ศาลทหารฯได้พิจารณาให้ประกันตัวให้กับหฤษฎ์-ณัฏฐิกา ในคดี 112 โดยทนายขออุทัยเงินประกันให้แก่ทั้งคู่ คนละ 5 แสนบาท จึงต้องคอตกฝากขังต่อระยะเวลา 6 วัน
94,นพดล จี้ถามประเทศยังมีปัญหาใครควรรับผิดชอบ ซัดไม่ปลดล็อกกระทบความเชื่อมั่น ปชช.-นักลงทุน,น. จี้ถามว่าใครควรรับผิดชอบกับปัญหาที่เกิดขึ้นในประเทศ เพราะการดำเนินการที่ไม่แก้ปัญหาจะส่งผลกระทบต่อความเชื่อมั่นของนักลงทุนในปชช.
95,สธ.ผุดนโยบายแจกเข็มสะอาดให้กลุ่มติดยาเสพติด หวังแก้ปัญหาติดเชื้อเอดส์ ด้าน ผอ.มูลนิธิเข้าถึงเอดส์ ออกโรงหนุน เชื่อลดติดเชื้อเอดส์ได้จริง แถมช่วยเลิกยาเสพติด หนุนตั้งตู้หยอดถุงยางใน ร.ร. เหตุโจ๋เริ่มมีเพศสัมพันธ์ตั้งแต่ยังเด็ก,"พระบรมราชโยธินได้ประกาศนโยบายให้กลุ่มผู้ติดยาเสพติดได้รับเข็มสะอาดเพื่อช่วยลดปัญหาการติดเชื้อเอดส์ ทั้งนี้ภายใต้ความเชื่อว่าการเข้าถึงองค์กรที่มีประสบการณ์เรื่องเอดส์และการส่งเสริมการใช้ถุงยางในโรงเรียนสามารถช่วยลดการติดเชื้อเอดส์และช่วยให้กลุ่มนี้เลิกใช้ยาเสพติดได้ 
此句是泰語的一句翻譯"
96,ลิโอเนล เมสซี สังหารจุดโทษในช่วงทดเจ็บ ช่วยให้อาร์เจนตินาไล่เจ๊าอุรุกวัยไปแบบหวุดหวิด 2-2 ในเกมอุ่นเครื่องที่อิสราเอล,ลิโอเนล เมสซี เล่นอย่างดีในช่วงเวลาที่เป็นอันตราย ช่วยให้อาร์เจนตินาไล่เจ้าอุรุกวัยไปด้วยคะแนนเสมอ 2-2 ในเกมสำคัญที่อิสราเอล
97,มท.1 ปิดห้องถกลับ ขรก.วางแนวยิง 4 คำถามนายกฯ รอง ปลัด มท.ยันไม่มีตัดต่อแต่งเติม จาตุรนต์ ฟันธงเชื่อขนมกินได้ ผวจ.ชี้นำเอาใจหัวหน้า คสช. องอาจ จี้รัฐบาลอำนาจเต็มมือเร่งแก้ปัญหาเศรษฐกิจปากท้องจะดีกว่า,มหาวิทยาลัยหนึ่งปิดห้องปรึกษาครู กระทรวงการคลังทำแบบสอบถามมีคำถามของนายกผู้อำนวยการ รองผู้อำนวยการ มหาวิทยาลัยยืนยันว่าไม่มีการตัดต่อหรือเพิ่มเติมจากกระทรวงการคลัง อธิบดีจาตุรนต์สัญญาว่าจะให้พัฒนาเร่งด่วนเพื่ออำนาจของรัฐบาลในการแก้ไขปัญหาเศรษฐกิจในช่วงเวลาที่ยังไม่มีคำตอบใช้กับปากท้องที่ดีกว่า
98,กรรมตามสนองชายชาวรัฐเทกซัสทันที หลังจากเขาใชปืนลูกโม่ยิงใส่ตัวนิ่ม แต่ถูกกระสุดปืนสะท้อนกลับใส่บริเวณศีรษะจนได้รับบาดเจ็บ,พรหมแมนบุรุษชาวรัฐเทกซัสได้รับโชคร้ายทันทีหลังจากเขาใช้ปืนลูกโม่ยิงเข้าไปที่ตัวนิ่มเพื่อพิทักษ์ความสงบ เขาถูกปืนสะท้อนกลับมาชนบริเวณศีรษะทำให้เกิดบาดเจ็บ
99,ตำรวจตามจับกุมตัว พ่อเลี้ยงหื่น ข่มขืนลูกเลี้ยงวัย 14 จนท้อง 8 เดือน ได้ที่เกาะพงัน หลังหลบหนีหมายจับ เบื้องต้นยังให้การปฏิเสธ อ้างถูกกลั่นแกล้ง ซัดลูกเลี่ยงมีแฟนแล้ว,ตำรวจได้จับกุมผู้ชายที่เป็นพ่อเลี้ยงและข่มขืนลูกเลี้ยงที่อายุ 14 ปีและมีท้อง 8 เดือนที่เกาะพงันหลังหนีหมายจับ ผู้ชายให้คำปฏิเสธเบื้องต้นและอ้างถูกกลั่นแกล้งซึ่งลูกเลี้ยงนี้ได้มีแฟนมาแล้ว
100,เกิดคำถามขึ้นอีกครั้งมนุษย์ต่างดาวมีจริงหรือไม่? กระทั่งมีผู้ออกมายืนยันพื้นที่เขากะลา หมู่ 10 ต.พระนอน อ.เมือง จ.นครสวรรค์ เป็นฐานของมนุษย์ต่างดาว เพื่อใช้ติดต่อสื่อสารกับชาวโลก ผ่านร่างทรง,มนุษย์ต่างดาวถูกยืนยันว่ามีอยู่จริงหรือไม่ โดยมีคนออกมายืนยันว่าพื้นที่ที่เขากำลังจะลงมาคือหมู่ 10 ตำบลพระนอน อำเภอเมือง จังหวัดนครสวรรค์เพื่อใช้เป็นฐานในการสื่อสารกับบุคคลบนโลกผ่านทางร่างทรง
101,องค์การอนามัยโลก รับรองมาตรฐาน ยาต้านไวรัสเอชไอวี/เอดส์ เอฟฟาไวเร็นซ์ ขององค์การเภสัชกรรม เป็นครั้งที่ 2 นับเป็นยารายการแรกของไทยที่ได้การรับรอง ,องค์การอนามัยโลกรับรองมาตรฐานยาต้านไวรัสเอดส์/เอชไอวีอีฟววีแอร์เฟนโซย์ เป็นครั้งที่สองขององค์การเภสัชกรรม และเป็นยารายการแรกในประเทศไทยที่ได้รับการรับรอง
102,รองผู้บัญชาการตำรวจแห่งชาติ ระบุคณะพนักงานสอบสวน ได้ดำเนินคดีกับอดีตผู้บังคับการสื่อสาร ฐานละเว้นการปฏิบัติหน้าที่ ปล่อยให้ สารวัตรเอี๊ยด หรือ พ.ต.ต.ปรากรม วารุณประภา ติดตั้งเสารับส่งวิทยุบนอาคารใบหยกทาวเวอร์ 2,เมื่อรองผู้บัญชาการตำรวจแห่งชาติได้ระบุคณะพนักงานสอบสวน แล้วสังกัดได้ดำเนินการฟ้องกับผู้บังคับการสื่อสารก่อนหน้านี้ เนื่องจากมีการละเมิดหน้าที่ และทิ้งเสารับส่งวิทยุบนอาคารใบหยกทาวเวอร์ 2 โดยเฉพาะพระคุณพิเศษปรากรม วารุณประภา
103,ศาลสูงในประเทศจีนเพิ่มโทษชายชาวแคนาดา จำเลยคดีลักลอบขนยาเสพติด จากจำคุก 15 ปี เป็นประหารชีวิต โดยให้เหตุผลว่า โทษจำคุกนั้นถือว่าปรานีเกินไป,ศาลสูงในประเทศจีนบวกโทษชายชาวแคนาดาโดยจำคุกเป็นอายุ 15 ปีเพื่อละเมิดชีวิต โดยให้เหตุผลว่าโทษจำคุกเป็นอันตรายมากเกินไป
